L1,gender,subset,speakers,vowel,label,n_tokens,F1_obs,F1_SD,F1_Hil,dF1_Hil,F1_Hag,dF1_Hag,F2_obs,F2_SD,F2_Hil,dF2_Hil,F2_Hag,dF2_Hag
SPA,M,all,8,ʌ,ʌ  (hud),821,642.0,94.0,623,19.0,687,-45.0,1299.0,192.0,1200,99.0,1233,66.0
SPA,M,stressed,8,i,i  (heed),595,357.0,85.0,342,15.0,294,63.0,2176.0,186.0,2322,-146.0,2208,-32.0
SPA,M,stressed,8,ɪ,ɪ  (hid),882,413.0,102.0,427,-14.0,458,-45.0,2104.0,236.0,2034,70.0,1860,244.0
SPA,M,stressed,8,ɛ,ɛ  (head),799,568.0,74.0,580,-12.0,584,-16.0,1719.0,185.0,1799,-80.0,1719,0.0
SPA,M,stressed,8,æ,æ  (had),811,703.0,94.0,588,115.0,761,-58.0,1533.0,174.0,1952,-419.0,1633,-100.0
SPA,M,stressed,8,ɑ,ɑ  (hod),518,681.0,80.0,768,-87.0,731,-50.0,1222.0,153.0,1333,-111.0,1118,104.0
SPA,M,stressed,8,ʊ,ʊ  (hood),197,415.0,87.0,469,-54.0,465,-50.0,1339.0,306.0,1122,217.0,1227,112.0
SPA,M,stressed,8,u,u  (who'd),403,408.0,103.0,378,30.0,389,19.0,1324.0,325.0,997,327.0,1395,-71.0
SPA,M,stressed,8,ʌ,ʌ  (hud),821,642.0,94.0,623,19.0,687,-45.0,1299.0,192.0,1200,99.0,1233,66.0
SPA,M,citation,8,i,i  (heed),190,352.0,86.0,342,10.0,294,58.0,2247.0,166.0,2322,-75.0,2208,39.0
SPA,M,citation,8,ɪ,ɪ  (hid),159,408.0,85.0,427,-19.0,458,-50.0,2142.0,255.0,2034,108.0,1860,282.0
SPA,M,citation,8,ɛ,ɛ  (head),331,585.0,71.0,580,5.0,584,1.0,1750.0,166.0,1799,-49.0,1719,31.0
SPA,M,citation,8,æ,æ  (had),284,734.0,96.0,588,146.0,761,-27.0,1521.0,171.0,1952,-431.0,1633,-112.0
SPA,M,citation,8,ɑ,ɑ  (hod),230,703.0,76.0,768,-65.0,731,-28.0,1206.0,133.0,1333,-127.0,1118,88.0
